year,manuf_name,num_manuf,brand,num_brand,model_name,price,cylinder,weight,horsepower,fuel_cost,nb_households,sj,i1b_poids_vide,i1b_puis_fisc,i1b_cylindree,i1b_euro_km,i2b_poids_vide,i2b_puis_fisc,i2b_cylindree,i2b_euro_km,i3b_poids_vide,i3b_puis_fisc,i3b_cylindree,i3b_euro_km
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE A",2.697391,1.689,11.4,6,4.702223,7185267,.000141,.8617470956,.850546,.8864787744,.8194621,.6274092159,.766569,.7263164737,.6173205,.9357993925,.90128,.9630844993,.8662964
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE A",2.532002,1.689,11.15,6,4.507648,7185267,.0003975,.8617470956,.850546,.8864787744,.8194621,.6274092159,.766569,.7263164737,.6173205,.9357993925,.90128,.9630844993,.8662964
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE A",2.298253,1.689,10.8,4,3.859066,7185267,6.01e-06,.8617470956,.850546,.8864787744,.8194621,.6274092159,.766569,.7263164737,.6173205,.9357993925,.90128,.9630844993,.8662964
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE A",2.182481,1.397,10.3,6,8.324638,7185267,.0001944,.8617470956,.850546,.8864787744,.8194621,.6274092159,.766569,.7263164737,.6173205,.9357993925,.90128,.9630844993,.8662964
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",3.729305,2.148,14.3,7,5.058943,7185267,.000173,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",4.159315,2.148,14.95,9,5.739955,7185267,.0000842,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",3.960849,2.148,14.45,8,5.512951,7185267,.0007702,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",6.345531,2.95,16.3,15,6.810116,7185267,7.35e-06,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",3.606697,2.148,14.3,8,5.221089,7185267,.0003394,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",5.009964,3.199,14.9,15,13.03859,7185267,.0000127,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",4.706751,2.597,15.4,12,13.48993,7185267,4.68e-06,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE C",3.539108,1.796,14.2,9,10.12998,7185267,.0001069,.8617470956,.850546,.8864787744,.8194621,.5563911278,.667489,.6428049852,.546918,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE E",5.049987,2.685,16.2,11,5.837242,7185267,.0007869,.8617470956,.850546,.8864787744,.8194621,.5775254928,.670966,.6445465507,.5742975,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE E",6.246298,3.199,15.7,15,11.93532,7185267,.0000501,.8617470956,.850546,.8864787744,.8194621,.5775254928,.670966,.6445465507,.5742975,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE E",5.568205,3.222,18.1,13,6.518254,7185267,6.68e-07,.8617470956,.850546,.8864787744,.8194621,.5775254928,.670966,.6445465507,.5742975,.6184332525,.842781,.7535796661,.5951132
